locality,n_checklists,American Bittern,American Black Duck,American Coot,American Crow,American Goldfinch,American Kestrel,American Pipit,American Redstart,American Robin,American Tree Sparrow,American Wigeon,American Woodcock,Bald Eagle,Baltimore Oriole,Bank Swallow,Barn Swallow,Barred Owl,Bay-breasted Warbler,Belted Kingfisher,Black Scoter,Black Tern,Black Vulture,Black-and-white Warbler,Black-bellied Plover,Black-billed Cuckoo,Black-capped Chickadee,Black-crowned Night-Heron,Black-throated Blue Warbler,Black-throated Green Warbler,Blackburnian Warbler,Blackpoll Warbler,Blue Jay,Blue-gray Gnatcatcher,Blue-headed Vireo,Blue-winged Teal,Blue-winged Warbler,Bobolink,Bonaparte's Gull,Brant,Broad-winged Hawk,Brown Creeper,Brown Thrasher,Brown-headed Cowbird,Bufflehead,Canada Goose,Cape May Warbler,Carolina Wren,Caspian Tern,Cedar Waxwing,Chestnut-sided Warbler,Chimney Swift,Chipping Sparrow,Cliff Swallow,Common Gallinule,Common Goldeneye,Common Grackle,Common Loon,Common Merganser,Common Raven,Common Tern,Common Yellowthroat,Cooper's Hawk,Dark-eyed Junco,Double-crested Cormorant,Downy Woodpecker,Dunlin,Eastern Bluebird,Eastern Kingbird,Eastern Meadowlark,Eastern Phoebe,Eastern Screech-Owl,Eastern Towhee,Eastern Wood-Pewee,Eurasian Wigeon,European Starling,Field Sparrow,Fox Sparrow,Gadwall,Glossy Ibis,Golden Eagle,Golden-crowned Kinglet,Golden-winged Warbler,Grasshopper Sparrow,Gray Catbird,Great Black-backed Gull,Great Blue Heron,Great Crested Flycatcher,Great Egret,Greater Scaup,Greater Yellowlegs,Green Heron,Green-winged Teal,Hairy Woodpecker,Hermit Thrush,Herring Gull,Hooded Merganser,Horned Grebe,Horned Lark,House Finch,House Sparrow,House Wren,Indigo Bunting,Killdeer,Least Flycatcher,Least Sandpiper,Lesser Scaup,Lesser Yellowlegs,Lincoln's Sparrow,Long-tailed Duck,Louisiana Waterthrush,Magnolia Warbler,Mallard,Marsh Wren,Merlin,Mourning Dove,Nashville Warbler,Northern Cardinal,Northern Flicker,Northern Goshawk,Northern Harrier,Northern Mockingbird,Northern Parula,Northern Pintail,Northern Rough-winged Swallow,Northern Shoveler,Northern Waterthrush,Orange-crowned Warbler,Orchard Oriole,Osprey,Ovenbird,Palm Warbler,Peregrine Falcon,Philadelphia Vireo,Pied-billed Grebe,Pileated Woodpecker,Pine Siskin,Pine Warbler,Prairie Warbler,Purple Finch,Purple Martin,Red-bellied Woodpecker,Red-breasted Merganser,Red-breasted Nuthatch,Red-eyed Vireo,Red-necked Grebe,Red-shouldered Hawk,Red-tailed Hawk,Red-throated Loon,Red-winged Blackbird,Ring-billed Gull,Ring-necked Duck,Rock Pigeon,Rose-breasted Grosbeak,Ruby-crowned Kinglet,Ruby-throated Hummingbird,Ruffed Grouse,Rusty Blackbird,Sandhill Crane,Savannah Sparrow,Scarlet Tanager,Semipalmated Plover,Semipalmated Sandpiper,Sharp-shinned Hawk,Snowy Egret,Solitary Sandpiper,Song Sparrow,Sora,Spotted Sandpiper,Surf Scoter,Swainson's Thrush,Swamp Sparrow,Tennessee Warbler,Tree Swallow,Tufted Duck,Tufted Titmouse,Turkey Vulture,Upland Sandpiper,Veery,Vesper Sparrow,Virginia Rail,Warbling Vireo,White-breasted Nuthatch,White-crowned Sparrow,White-throated Sparrow,White-winged Scoter,Wild Turkey,Willow Flycatcher,Wilson's Phalarope,Wilson's Snipe,Wilson's Warbler,Winter Wren,Wood Duck,Wood Thrush,Yellow Warbler,Yellow-bellied Sapsucker,Yellow-rumped Warbler,Yellow-throated Vireo,total_time,med_time,iqr_time,total_distance,time_per_checklist
Battell Woods,2,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,14.75,7.75,NA,14.75
Bittersweet Falls,22,0,0,0,0.5,0.5,0,0,0.2727272727272727,0.18181818181818182,0,0,0,0,0,0,0,0.045454545454545456,0,0,0,0,0,0.045454545454545456,0,0,0.5909090909090909,0,0.045454545454545456,0.13636363636363635,0,0,0.18181818181818182,0,0.09090909090909091,0,0,0,0,0,0,0.045454545454545456,0,0.36363636363636365,0,0.09090909090909091,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0.09090909090909091,0,0.045454545454545456,0,0.045454545454545456,0,0.36363636363636365,0,0,0.045454545454545456,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0,0,0.09090909090909091,0,0,0,0,0,0.045454545454545456,0.045454545454545456,0,0,0,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0.3181818181818182,0,0,0,0,0.045454545454545456,0,0.13636363636363635,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0.36363636363636365,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0,0,0.13636363636363635,0,0,0.09090909090909091,0,0.045454545454545456,0,0,0,0,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0,0,0.045454545454545456,0,0,0,0,0.3181818181818182,0.13636363636363635,0,0.13636363636363635,0,0,0,0.09090909090909091,0,0.18181818181818182,0,0,0,0,0,0,0.13636363636363635,0,0.18181818181818182,0.045454545454545456,0,0.22727272727272727,0,20.681818181818183,0.7727272727272727,0.7272727272727273,NA,0.9400826446280992
Bob Collins Conservation Farm,16,0,0.0625,0,0.8125,0.8125,0,0,0,0.625,0,0,0.0625,0,0.125,0,0.125,0,0,0.0625,0,0,0,0.5,0,0,0.9375,0,0.125,0.125,0,0,0.75,0,0.375,0,0.5625,0.1875,0,0,0,0,0.6875,0.4375,0,0.3125,0,0,0,0.0625,0.4375,0,0.0625,0.0625,0,0,0.3125,0.0625,0,0.375,0,0.5625,0.0625,0,0,0.375,0,0,0.25,0.0625,0.125,0,0.875,0,0,0.25,0.875,0,0,0,0,0,0.3125,0,0.875,0,0,0.375,0,0,0,0,0,0.1875,0.1875,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0,0,0,0.0625,0.25,0,0,0.3125,0.125,0.875,0.125,0,0,0.0625,0,0,0,0,0,0,0,0.125,0.875,0,0,0,0,0.125,0,0,0,0,0,0.4375,0,0.125,0.0625,0,0,0.3125,0,0.875,0.125,0,0,0.3125,0.4375,0.0625,0.3125,0,0,0.125,0.0625,0,0,0,0,0.0625,1,0,0,0,0,0.0625,0,0,0,0.4375,0.25,0,0,0,0,0,0.1875,0.1875,0.4375,0,0.125,0,0,0,0,0,0,0.4375,0.5,0.0625,0.3125,0,90.875,6.28125,3.578125,1.750625,5.6796875
Bond Island Natural Area,11,0.7272727272727273,0,0,0.45454545454545453,0.9090909090909091,0,0,0,1,0,0,0,0,0,0,0,0,0,0.45454545454545453,0,0,0,0.5454545454545454,0,0,0.8181818181818182,0,0.09090909090909091,0.09090909090909091,0,0,0.5454545454545454,0,0.36363636363636365,0,0,0,0,0,0,0,0,0.18181818181818182,0,0.2727272727272727,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,0,0,0.45454545454545453,0,0.5454545454545454,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0.18181818181818182,0,0,0.6363636363636364,0,0,0,0.09090909090909091,0,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36363636363636365,0.09090909090909091,0,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.7272727272727273,0,0.09090909090909091,0,0,0,0,0,0.7272727272727273,0,0,0,0.5454545454545454,0,0,0,0,0.2727272727272727,0,0.18181818181818182,0,0,0,0.45454545454545453,0,0,0.09090909090909091,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0.9090909090909091,0,0,0,0,0.8181818181818182,0,0.18181818181818182,0,0.36363636363636365,0.09090909090909091,0,0,0,0.36363636363636365,0,0.2727272727272727,0,0.2727272727272727,0,0.18181818181818182,0,0,0.18181818181818182,0,0,0.18181818181818182,0,0.09090909090909091,0.5454545454545454,0.2727272727272727,0,66.63636363636364,5.909090909090909,5.136363636363637,1.077090909090909,6.0578512396694215
Branbury State Park,4,0,0,0,0.25,0,0,0,0,0.75,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,50,1.875,11.875,NA,12.5
Bristol Pond (248 acres) (Winona Lake) - Bristol,23,0.43478260869565216,0.043478260869565216,0,0.13043478260869565,0.21739130434782608,0,0,0.043478260869565216,0.5652173913043478,0,0,0.043478260869565216,0,0.21739130434782608,0,0.17391304347826086,0,0,0.34782608695652173,0,0,0,0,0,0,0.391304347826087,0,0,0,0,0,0.21739130434782608,0,0,0.043478260869565216,0,0,0.043478260869565216,0,0,0,0,0.2608695652173913,0,0.8260869565217391,0,0,0,0,0.043478260869565216,0,0.2608695652173913,0,0,0,0.6086956521739131,0,0.08695652173913043,0.13043478260869565,0,0.17391304347826086,0,0.08695652173913043,0,0.17391304347826086,0,0,0.17391304347826086,0,0.17391304347826086,0,0,0,0,0.13043478260869565,0,0,0,0,0,0,0,0,0.08695652173913043,0,0.391304347826087,0.043478260869565216,0,0,0,0.043478260869565216,0,0,0,0,0,0,0,0.043478260869565216,0.13043478260869565,0.08695652173913043,0,0.043478260869565216,0.17391304347826086,0,0,0,0,0,0,0,0.5217391304347826,0,0,0.391304347826087,0,0.30434782608695654,0.08695652173913043,0,0.21739130434782608,0,0,0,0,0,0,0,0,0.17391304347826086,0,0,0,0,0,0.08695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782608695652174,0.13043478260869565,0,0,0.043478260869565216,0.08695652173913043,0,0.08695652173913043,0,0.2608695652173913,0.043478260869565216,0,0,0,0,0,0,0.5652173913043478,0,0.08695652173913043,0,0,0.391304347826087,0,0.34782608695652173,0,0.13043478260869565,0.2608695652173913,0,0,0,0,0.391304347826087,0.17391304347826086,0.043478260869565216,0.17391304347826086,0,0.08695652173913043,0,0,0.08695652173913043,0,0,0.2608695652173913,0,0.2608695652173913,0.08695652173913043,0.21739130434782608,0,90.30434782608695,1.7391304347826086,2.282608695652174,NA,3.9262759924385633
Bristol Pond Fishing Access,48,0.6041666666666666,0,0,0.16666666666666666,0.125,0.020833333333333332,0,0.041666666666666664,0.5416666666666666,0,0,0.020833333333333332,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667,0,0,0.2708333333333333,0,0,0,0.020833333333333332,0,0,0.22916666666666666,0,0,0,0,0,0.0625,0.020833333333333332,0,0.041666666666666664,0,0,0,0,0,0,0,0.020833333333333332,0,0.8958333333333334,0.020833333333333332,0,0,0,0.020833333333333332,0,0.020833333333333332,0.041666666666666664,0,0,0.7083333333333334,0,0.041666666666666664,0.0625,0,0.25,0,0.041666666666666664,0,0.16666666666666666,0,0.041666666666666664,0.125,0,0.20833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0.375,0.041666666666666664,0.041666666666666664,0,0.0625,0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0,0,0,0,0,0,0,0.020833333333333332,0.041666666666666664,0.375,0,0,0,0,0,0,0,0.5416666666666666,0.041666666666666664,0.041666666666666664,0.08333333333333333,0,0.1875,0.125,0,0.14583333333333334,0,0,0,0.041666666666666664,0,0.041666666666666664,0,0,0.3125,0,0.1875,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0,0.8958333333333334,0.2708333333333333,0.041666666666666664,0,0.020833333333333332,0.020833333333333332,0,0,0.020833333333333332,0.1875,0,0,0,0,0,0,0.0625,0.4375,0,0.0625,0,0,0.4375,0,0.4583333333333333,0,0,0.08333333333333333,0,0,0,0,0.3541666666666667,0.041666666666666664,0,0.125,0,0.020833333333333332,0,0,0.0625,0,0,0.3333333333333333,0.020833333333333332,0.5208333333333334,0.041666666666666664,0.6041666666666666,0,27.041666666666668,0.4583333333333333,0.5625,NA,0.5633680555555556
Button Bay State Park,4,0,0.25,0,0.75,0.5,0,0,0,1,0,0,0,0.25,0.5,0,0.5,0,0,0.5,0,0.25,0,0.5,0,0,1,0,0.25,0.25,0,0,0.5,0.25,0,0,0,0,0.75,0,0,0,0,0.5,0.5,1,0,0,0.5,0,0.25,0,0.5,0,0,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0,0,0.75,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.75,0.5,0.25,0.25,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0.75,0,0,0.5,0.25,0.75,0.5,0,0,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0.75,0,0,0.5,0.5,0,0,0,0,0.75,0,0,0,0,0,0.25,1,0,0.5,0,0,0.25,0,1,0,0.25,0.25,0,0,0,0,0.25,0.75,0.75,0.75,0,0,0,0,0,0,0,0.5,0,0.75,0.25,0.75,0,191.75,41.875,28.3125,2.977,47.9375
Champlain Bridge / Chimney Point,35,0,0,0,0.2,0.22857142857142856,0,0,0,0.6,0,0,0,0.02857142857142857,0.2857142857142857,0,0.05714285714285714,0,0,0.22857142857142856,0,0.02857142857142857,0,0,0,0,0.05714285714285714,0,0,0,0,0,0,0,0,0,0,0,0.5142857142857142,0.02857142857142857,0.02857142857142857,0,0,0.11428571428571428,0.45714285714285713,0.17142857142857143,0,0.02857142857142857,0.4857142857142857,0,0,0,0.2857142857142857,0,0,0.02857142857142857,0.7142857142857143,0.42857142857142855,0.2,0.05714285714285714,0.3142857142857143,0.02857142857142857,0,0,0.8,0.05714285714285714,0,0,0.08571428571428572,0,0,0,0,0,0,0.37142857142857144,0,0,0,0,0,0,0,0,0.08571428571428572,0.17142857142857143,0.08571428571428572,0,0,0.14285714285714285,0,0,0,0,0,0.22857142857142856,0.05714285714285714,0,0,0.05714285714285714,0.3142857142857143,0.02857142857142857,0.02857142857142857,0.02857142857142857,0,0,0.17142857142857143,0,0,0.05714285714285714,0,0,0.2,0,0,0,0,0.05714285714285714,0.11428571428571428,0,0,0,0,0,0,0,0,0,0,0.5428571428571428,0,0,0,0,0,0,0,0,0,0.02857142857142857,0.14285714285714285,0.02857142857142857,0.02857142857142857,0,0,0.02857142857142857,0,0,0,0.4,0.7428571428571429,0.05714285714285714,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0,0.45714285714285713,0,0.08571428571428572,0,0,0.02857142857142857,0,0.11428571428571428,0.08571428571428572,0,0.11428571428571428,0,0,0,0,0.3142857142857143,0,0,0.02857142857142857,0,0,0,0,0,0,0,0.05714285714285714,0,0.22857142857142856,0,0.05714285714285714,0,27.742857142857144,0.6,0.6,NA,0.7926530612244899
Chipman Hill,34,0,0,0,0.7352941176470589,0.8235294117647058,0,0,0.35294117647058826,0.9117647058823529,0,0,0,0,0.14705882352941177,0,0,0.20588235294117646,0.058823529411764705,0.029411764705882353,0,0,0,0.6176470588235294,0,0,1,0,0.5882352941176471,0.47058823529411764,0.5294117647058824,0.029411764705882353,0.7647058823529411,0,0.6470588235294118,0,0,0,0,0,0.11764705882352941,0.4117647058823529,0,0.7647058823529411,0,0.23529411764705882,0,0.23529411764705882,0,0.14705882352941177,0.4117647058823529,0.029411764705882353,0.7941176470588235,0,0,0,0.17647058823529413,0,0.029411764705882353,0.17647058823529413,0,0.14705882352941177,0.058823529411764705,0.20588235294117646,0,0.7941176470588235,0,0,0.029411764705882353,0,0.35294117647058826,0,0.058823529411764705,0.058823529411764705,0,0.08823529411764706,0,0,0,0,0,0,0,0,0.29411764705882354,0,0,0.2647058823529412,0,0,0,0,0,0.5588235294117647,0.3235294117647059,0,0,0,0,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.08823529411764706,0,0.029411764705882353,0,0,0,0,0,0,0.17647058823529413,0.029411764705882353,0,0.08823529411764706,0.6764705882352942,0.20588235294117646,0.9117647058823529,0.4411764705882353,0,0,0,0.11764705882352941,0,0,0,0.029411764705882353,0.029411764705882353,0,0.058823529411764705,0.7647058823529411,0,0,0,0,0.38235294117647056,0,0.7941176470588235,0,0,0,0.5882352941176471,0,0.29411764705882354,0.14705882352941177,0,0,0.029411764705882353,0,0.14705882352941177,0.058823529411764705,0,0,0.35294117647058826,0.5882352941176471,0.029411764705882353,0.08823529411764706,0,0,0,0.3235294117647059,0,0,0,0,0,0.20588235294117646,0,0,0,0.029411764705882353,0,0.029411764705882353,0.058823529411764705,0,0.8235294117647058,0.14705882352941177,0,0.20588235294117646,0,0,0,0.6764705882352942,0.029411764705882353,0.4117647058823529,0,0.029411764705882353,0,0,0,0,0.029411764705882353,0,0.4411764705882353,0,0.4411764705882353,0.7941176470588235,0.17647058823529413,115,2.9411764705882355,2.5661764705882355,NA,3.3823529411764706
